edge_name,weight
שיִא (-) סָמָח,6
הָרֵאְמ (-) הָוֹהְי,1
תִיָּב (-) עָשָר,3
הֶוָנ (-) קיִּדַצ,2
רָבָּד (-) בֵל,1
הָרָטֲע (-) תֶרֶאְפִּת,2
ְךֶרֶּד (-) הָמְכָח,1
לָגֲעַמ (-) רֶשֹי,1
חַרֹא (-) עָשָר,1
ְךֶרֶּד (-) עַר,2
םֶחֶל (-) עַשֶר,1
ןִּיַי (-) סָמָח,1
רֹוא (-) ּהַגֹנ,1
ןֹוכָנ (-) םֹוי,1
ךֶרֶּד (-) עָשָר,1
הָאָצֹוּת (-) םיִּיַח,1
תּושְּקִע (-) הֶּפ,1
תּוזָל (-) הָפָש,1
לָגֲעַמ (-) לֶגֶר,1
בֶרֶח (-) הֶּפ,1
תִיָּב (-) יִרְכָנ,1
לֹוק (-) הֶרֹומ,1
גֶלֶּפ (-) םִיַמ,3
הָּשִא (-) םיִרּועְנ,1
הָלָּיַא (-) בֵהַא,1
הָלֲעַי (-) ןֵח,1
קֹח (-) יִרְכָנ,1
ְךֶרֶּד (-) שיִא,4
לֶבֶח (-) אְטֵח,1
בַר (-) תֶלֶּוִא,1
ףַּכ (-) ַעֵר,1
קּבִח (-) דָי,1
םָדָא (-) לָעָיִלְּב,1
שיִא (-) ןֶוָא,1
תּושְקִע (-) הֶּפ,1
הָבֵעֹוּת (-) שֶפֶנ,1
ןֹושָל (-) רֶקֶש,5
הָבָשְחַמ (-) ןֶוָא,1
הָוְצִמ (-) בָא,1
ְךֶרֶּד (-) םיִּיַח,1
תַחַכֹוּת (-) רָסּומ,1
הָקְלֶח (-) ןֹושָל,1
רָּכִּכ (-) םֶחֶל,1
הָּשִא (-) שיִא,1
ןֹוה (-) תִיָּב,1
רֵסָח (-) בֵל,10
הָמֵח (-) רֶבֶּג,1
םֹוי (-) םָקָנ,1
הֶנָּפ (-) רָפְּכ,1
ןֹוּלַח (-) תִיָּב,1
ְךֶרֶּד (-) תִיָּב,1
ןֹושיִא (-) הָלְיַל,1
תיִש (-) הָנֹז,1
רּוצָנ (-) בֵל,1
חַבֶז (-) םֵלָש,1
ןּוטֵא (-) םִיַרְצִמ,1
רֹורְצ (-) ףֶסֶּכ,1
םֹוי (-) אֵּסִּכ,1
בֹר (-) חַקֶל,1
הָקְלֶח (-) הָפָש,1
רָסּומ (-) ליִוֱא,2
ְךֶרֶּד (-) לֹואְש,1
רֶדֶח (-) תֶוָמ,1
שאֹר (-) םֹורָמ,1
תִיָּב (-) ביִתָנ,1
אֹובָמ (-) חַתֶּפ,1
חָּתְפִמ (-) הָפָש,1
הָבֵעֹוּת (-) הָפָש,1
אֵצֹמ (-) תַעַּד,1
תַעַּד (-) הָּמִזְמ,1
הֶּפ (-) הָכּוּפֲהַּת,1
טֶפֹש (-) קֶדֶצ,2
חַרֹא (-) הָקָדְצ,2
